id,label
Applied Sciences,Applied Sciences
Arts & Humanities,Arts & Humanities
Economic & Social Sciences,Economic & Social Sciences
General,General
Health Sciences,Health Sciences
Natural Sciences,Natural Sciences
"Agriculture, Fisheries & Forestry","Agriculture, Fisheries & Forestry"
Built Environment & Design,Built Environment & Design
Enabling & Strategic Technologies,Enabling & Strategic Technologies
Engineering,Engineering
Information & Communication Technologies,Information & Communication Technologies
Communication & Textual Studies,Communication & Textual Studies
Historical Studies,Historical Studies
Philosophy & Theology,Philosophy & Theology
Visual & Performing Arts,Visual & Performing Arts
Economics & Business ,Economics & Business 
Social Sciences,Social Sciences
"General Arts, Humanities & Social Sciences","General Arts, Humanities & Social Sciences"
General Science & Technology,General Science & Technology
Biomedical Research,Biomedical Research
Clinical Medicine,Clinical Medicine
Psychology & Cognitive Sciences,Psychology & Cognitive Sciences
Public Health & Health Services,Public Health & Health Services
Biology,Biology
Chemistry,Chemistry
Earth & Environmental Sciences,Earth & Environmental Sciences
Mathematics & Statistics,Mathematics & Statistics
Physics & Astronomy,Physics & Astronomy
Agronomy & Agriculture,Agronomy & Agriculture
Dairy & Animal Science,Dairy & Animal Science
Fisheries,Fisheries
Food Science,Food Science
Forestry,Forestry
Horticulture,Horticulture
Veterinary Sciences,Veterinary Sciences
Architecture,Architecture
Building & Construction,Building & Construction
Design Practice & Management,Design Practice & Management
Urban & Regional Planning,Urban & Regional Planning
Bioinformatics,Bioinformatics
Biotechnology,Biotechnology
Energy,Energy
Materials,Materials
Nanoscience & Nanotechnology,Nanoscience & Nanotechnology
Optoelectronics & Photonics,Optoelectronics & Photonics
"Strategic, Defence & Security Studies","Strategic, Defence & Security Studies"
Aerospace & Aeronautics,Aerospace & Aeronautics
Automobile Design & Engineering,Automobile Design & Engineering
Biomedical Engineering,Biomedical Engineering
Chemical Engineering,Chemical Engineering
Civil Engineering,Civil Engineering
Electrical & Electronic Engineering,Electrical & Electronic Engineering
Environmental Engineering,Environmental Engineering
Geological & Geomatics Engineering,Geological & Geomatics Engineering
Industrial Engineering & Automation,Industrial Engineering & Automation
Mechanical Engineering & Transports,Mechanical Engineering & Transports
Mining & Metallurgy,Mining & Metallurgy
Operations Research,Operations Research
Artificial Intelligence & Image Processing,Artificial Intelligence & Image Processing
Computation Theory & Mathematics,Computation Theory & Mathematics
Computer Hardware & Architecture,Computer Hardware & Architecture
Distributed Computing,Distributed Computing
Information Systems,Information Systems
Medical Informatics,Medical Informatics
Networking & Telecommunications,Networking & Telecommunications
Software Engineering,Software Engineering
Communication & Media Studies,Communication & Media Studies
Languages & Linguistics,Languages & Linguistics
Literary Studies,Literary Studies
Anthropology,Anthropology
Archaeology,Archaeology
Classics,Classics
History,History
"History of Science, Technology & Medicine","History of Science, Technology & Medicine"
History of Social Sciences,History of Social Sciences
Applied Ethics,Applied Ethics
Philosophy,Philosophy
Religions & Theology,Religions & Theology
"Art Practice, History & Theory","Art Practice, History & Theory"
Drama & Theater,Drama & Theater
Folklore,Folklore
Music,Music
Accounting,Accounting
Agricultural Economics & Policy,Agricultural Economics & Policy
Business & Management,Business & Management
Development Studies,Development Studies
Econometrics ,Econometrics 
Economic Theory,Economic Theory
Economics,Economics
Finance,Finance
Industrial Relations,Industrial Relations
Logistics & Transportation,Logistics & Transportation
Marketing,Marketing
"Sport, Leisure & Tourism","Sport, Leisure & Tourism"
Criminology,Criminology
Cultural Studies,Cultural Studies
Demography,Demography
Education,Education
Family Studies,Family Studies
Gender Studies,Gender Studies
Geography,Geography
Information & Library Sciences,Information & Library Sciences
International Relations,International Relations
Law,Law
Political Science & Public Administration,Political Science & Public Administration
Science Studies,Science Studies
Social Sciences Methods,Social Sciences Methods
Social Work,Social Work
Sociology,Sociology
"General Arts, Humanities & Social Sciences","General Arts, Humanities & Social Sciences"
General Science & Technology,General Science & Technology
Anatomy & Morphology,Anatomy & Morphology
Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
Biophysics,Biophysics
Developmental Biology,Developmental Biology
Genetics & Heredity,Genetics & Heredity
Microbiology,Microbiology
Microscopy,Microscopy
Mycology & Parasitology,Mycology & Parasitology
Nutrition & Dietetics,Nutrition & Dietetics
Physiology,Physiology
Toxicology,Toxicology
Virology,Virology
Allergy,Allergy
Anesthesiology,Anesthesiology
Arthritis & Rheumatology,Arthritis & Rheumatology
Cardiovascular System & Hematology,Cardiovascular System & Hematology
Complementary & Alternative Medicine,Complementary & Alternative Medicine
Dentistry,Dentistry
Dermatology & Venereal Diseases,Dermatology & Venereal Diseases
Emergency & Critical Care Medicine,Emergency & Critical Care Medicine
Endocrinology & Metabolism,Endocrinology & Metabolism
Environmental & Occupational Health,Environmental & Occupational Health
Gastroenterology & Hepatology,Gastroenterology & Hepatology
General & Internal Medicine,General & Internal Medicine
General Clinical Medicine,General Clinical Medicine
Geriatrics,Geriatrics
Immunology,Immunology
Legal & Forensic Medicine,Legal & Forensic Medicine
Neurology & Neurosurgery,Neurology & Neurosurgery
Nuclear Medicine & Medical Imaging,Nuclear Medicine & Medical Imaging
Obstetrics & Reproductive Medicine,Obstetrics & Reproductive Medicine
Oncology & Carcinogenesis,Oncology & Carcinogenesis
Ophthalmology & Optometry,Ophthalmology & Optometry
Orthopedics,Orthopedics
Otorhinolaryngology,Otorhinolaryngology
Pathology,Pathology
Pediatrics,Pediatrics
Pharmacology & Pharmacy,Pharmacology & Pharmacy
Psychiatry,Psychiatry
Respiratory System,Respiratory System
Sport Sciences,Sport Sciences
Surgery,Surgery
Tropical Medicine,Tropical Medicine
Urology & Nephrology,Urology & Nephrology
Behavioral Science & Comparative Psychology,Behavioral Science & Comparative Psychology
Clinical Psychology,Clinical Psychology
Developmental & Child Psychology,Developmental & Child Psychology
Experimental Psychology,Experimental Psychology
General Psychology & Cognitive Sciences,General Psychology & Cognitive Sciences
Human Factors,Human Factors
Psychoanalysis,Psychoanalysis
Social Psychology,Social Psychology
Epidemiology,Epidemiology
Gerontology,Gerontology
Health Policy & Services,Health Policy & Services
Nursing,Nursing
Public Health,Public Health
Rehabilitation,Rehabilitation
Speech-Language Pathology & Audiology,Speech-Language Pathology & Audiology
Substance Abuse,Substance Abuse
Ecology,Ecology
Entomology,Entomology
Evolutionary Biology,Evolutionary Biology
Marine Biology & Hydrobiology,Marine Biology & Hydrobiology
Ornithology,Ornithology
Plant Biology & Botany,Plant Biology & Botany
Zoology,Zoology
Analytical Chemistry,Analytical Chemistry
General Chemistry,General Chemistry
Inorganic & Nuclear Chemistry,Inorganic & Nuclear Chemistry
Medicinal & Biomolecular Chemistry,Medicinal & Biomolecular Chemistry
Organic Chemistry,Organic Chemistry
Physical Chemistry,Physical Chemistry
Polymers,Polymers
Environmental Sciences,Environmental Sciences
Geochemistry & Geophysics,Geochemistry & Geophysics
Geology,Geology
Meteorology & Atmospheric Sciences,Meteorology & Atmospheric Sciences
Oceanography,Oceanography
Paleontology,Paleontology
Applied Mathematics,Applied Mathematics
General Mathematics,General Mathematics
Numerical & Computational Mathematics,Numerical & Computational Mathematics
Statistics & Probability,Statistics & Probability
Acoustics,Acoustics
Applied Physics,Applied Physics
Astronomy & Astrophysics,Astronomy & Astrophysics
Chemical Physics,Chemical Physics
Fluids & Plasmas,Fluids & Plasmas
General Physics,General Physics
Mathematical Physics,Mathematical Physics
Nuclear & Particles Physics,Nuclear & Particles Physics
Optics,Optics