Source,Target,id,label,Type,weight,pn
Agronomy & Agriculture,"Agriculture, Fisheries & Forestry",0,,Directed,,
Dairy & Animal Science,"Agriculture, Fisheries & Forestry",1,,Directed,,
Fisheries,"Agriculture, Fisheries & Forestry",2,,Directed,,
Food Science,"Agriculture, Fisheries & Forestry",3,,Directed,,
Forestry,"Agriculture, Fisheries & Forestry",4,,Directed,,
Horticulture,"Agriculture, Fisheries & Forestry",5,,Directed,,
Veterinary Sciences,"Agriculture, Fisheries & Forestry",6,,Directed,,
Architecture,Built Environment & Design,7,,Directed,,
Building & Construction,Built Environment & Design,8,,Directed,,
Design Practice & Management,Built Environment & Design,9,,Directed,,
Urban & Regional Planning,Built Environment & Design,10,,Directed,,
Bioinformatics,Enabling & Strategic Technologies,11,,Directed,,
Biotechnology,Enabling & Strategic Technologies,12,,Directed,,
Energy,Enabling & Strategic Technologies,13,,Directed,,
Materials,Enabling & Strategic Technologies,14,,Directed,,
Nanoscience & Nanotechnology,Enabling & Strategic Technologies,15,,Directed,,
Optoelectronics & Photonics,Enabling & Strategic Technologies,16,,Directed,,
"Strategic, Defence & Security Studies",Enabling & Strategic Technologies,17,,Directed,,
Aerospace & Aeronautics,Engineering,18,,Directed,,
Automobile Design & Engineering,Engineering,19,,Directed,,
Biomedical Engineering,Engineering,20,,Directed,,
Chemical Engineering,Engineering,21,,Directed,,
Civil Engineering,Engineering,22,,Directed,,
Electrical & Electronic Engineering,Engineering,23,,Directed,,
Environmental Engineering,Engineering,24,,Directed,,
Geological & Geomatics Engineering,Engineering,25,,Directed,,
Industrial Engineering & Automation,Engineering,26,,Directed,,
Mechanical Engineering & Transports,Engineering,27,,Directed,,
Mining & Metallurgy,Engineering,28,,Directed,,
Operations Research,Engineering,29,,Directed,,
Artificial Intelligence & Image Processing,Information & Communication Technologies,30,,Directed,,
Computation Theory & Mathematics,Information & Communication Technologies,31,,Directed,,
Computer Hardware & Architecture,Information & Communication Technologies,32,,Directed,,
Distributed Computing,Information & Communication Technologies,33,,Directed,,
Information Systems,Information & Communication Technologies,34,,Directed,,
Medical Informatics,Information & Communication Technologies,35,,Directed,,
Networking & Telecommunications,Information & Communication Technologies,36,,Directed,,
Software Engineering,Information & Communication Technologies,37,,Directed,,
Communication & Media Studies,Communication & Textual Studies,38,,Directed,,
Languages & Linguistics,Communication & Textual Studies,39,,Directed,,
Literary Studies,Communication & Textual Studies,40,,Directed,,
Anthropology,Historical Studies,41,,Directed,,
Archaeology,Historical Studies,42,,Directed,,
Classics,Historical Studies,43,,Directed,,
History,Historical Studies,44,,Directed,,
"History of Science, Technology & Medicine",Historical Studies,45,,Directed,,
History of Social Sciences,Historical Studies,46,,Directed,,
Applied Ethics,Philosophy & Theology,47,,Directed,,
Philosophy,Philosophy & Theology,48,,Directed,,
Religions & Theology,Philosophy & Theology,49,,Directed,,
"Art Practice, History & Theory",Visual & Performing Arts,50,,Directed,,
Drama & Theater,Visual & Performing Arts,51,,Directed,,
Folklore,Visual & Performing Arts,52,,Directed,,
Music,Visual & Performing Arts,53,,Directed,,
Accounting,Economics & Business ,54,,Directed,,
Agricultural Economics & Policy,Economics & Business ,55,,Directed,,
Business & Management,Economics & Business ,56,,Directed,,
Development Studies,Economics & Business ,57,,Directed,,
Econometrics ,Economics & Business ,58,,Directed,,
Economic Theory,Economics & Business ,59,,Directed,,
Economics,Economics & Business ,60,,Directed,,
Finance,Economics & Business ,61,,Directed,,
Industrial Relations,Economics & Business ,62,,Directed,,
Logistics & Transportation,Economics & Business ,63,,Directed,,
Marketing,Economics & Business ,64,,Directed,,
"Sport, Leisure & Tourism",Economics & Business ,65,,Directed,,
Criminology,Social Sciences,66,,Directed,,
Cultural Studies,Social Sciences,67,,Directed,,
Demography,Social Sciences,68,,Directed,,
Education,Social Sciences,69,,Directed,,
Family Studies,Social Sciences,70,,Directed,,
Gender Studies,Social Sciences,71,,Directed,,
Geography,Social Sciences,72,,Directed,,
Information & Library Sciences,Social Sciences,73,,Directed,,
International Relations,Social Sciences,74,,Directed,,
Law,Social Sciences,75,,Directed,,
Political Science & Public Administration,Social Sciences,76,,Directed,,
Science Studies,Social Sciences,77,,Directed,,
Social Sciences Methods,Social Sciences,78,,Directed,,
Social Work,Social Sciences,79,,Directed,,
Sociology,Social Sciences,80,,Directed,,
"General Arts, Humanities & Social Sciences","General Arts, Humanities & Social Sciences",81,,Directed,,
General Science & Technology,General Science & Technology,82,,Directed,,
Anatomy & Morphology,Biomedical Research,83,,Directed,,
Biochemistry & Molecular Biology,Biomedical Research,84,,Directed,,
Biophysics,Biomedical Research,85,,Directed,,
Developmental Biology,Biomedical Research,86,,Directed,,
Genetics & Heredity,Biomedical Research,87,,Directed,,
Microbiology,Biomedical Research,88,,Directed,,
Microscopy,Biomedical Research,89,,Directed,,
Mycology & Parasitology,Biomedical Research,90,,Directed,,
Nutrition & Dietetics,Biomedical Research,91,,Directed,,
Physiology,Biomedical Research,92,,Directed,,
Toxicology,Biomedical Research,93,,Directed,,
Virology,Biomedical Research,94,,Directed,,
Allergy,Clinical Medicine,95,,Directed,,
Anesthesiology,Clinical Medicine,96,,Directed,,
Arthritis & Rheumatology,Clinical Medicine,97,,Directed,,
Cardiovascular System & Hematology,Clinical Medicine,98,,Directed,,
Complementary & Alternative Medicine,Clinical Medicine,99,,Directed,,
Dentistry,Clinical Medicine,100,,Directed,,
Dermatology & Venereal Diseases,Clinical Medicine,101,,Directed,,
Emergency & Critical Care Medicine,Clinical Medicine,102,,Directed,,
Endocrinology & Metabolism,Clinical Medicine,103,,Directed,,
Environmental & Occupational Health,Clinical Medicine,104,,Directed,,
Gastroenterology & Hepatology,Clinical Medicine,105,,Directed,,
General & Internal Medicine,Clinical Medicine,106,,Directed,,
General Clinical Medicine,Clinical Medicine,107,,Directed,,
Geriatrics,Clinical Medicine,108,,Directed,,
Immunology,Clinical Medicine,109,,Directed,,
Legal & Forensic Medicine,Clinical Medicine,110,,Directed,,
Neurology & Neurosurgery,Clinical Medicine,111,,Directed,,
Nuclear Medicine & Medical Imaging,Clinical Medicine,112,,Directed,,
Obstetrics & Reproductive Medicine,Clinical Medicine,113,,Directed,,
Oncology & Carcinogenesis,Clinical Medicine,114,,Directed,,
Ophthalmology & Optometry,Clinical Medicine,115,,Directed,,
Orthopedics,Clinical Medicine,116,,Directed,,
Otorhinolaryngology,Clinical Medicine,117,,Directed,,
Pathology,Clinical Medicine,118,,Directed,,
Pediatrics,Clinical Medicine,119,,Directed,,
Pharmacology & Pharmacy,Clinical Medicine,120,,Directed,,
Psychiatry,Clinical Medicine,121,,Directed,,
Respiratory System,Clinical Medicine,122,,Directed,,
Sport Sciences,Clinical Medicine,123,,Directed,,
Surgery,Clinical Medicine,124,,Directed,,
Tropical Medicine,Clinical Medicine,125,,Directed,,
Urology & Nephrology,Clinical Medicine,126,,Directed,,
Behavioral Science & Comparative Psychology,Psychology & Cognitive Sciences,127,,Directed,,
Clinical Psychology,Psychology & Cognitive Sciences,128,,Directed,,
Developmental & Child Psychology,Psychology & Cognitive Sciences,129,,Directed,,
Experimental Psychology,Psychology & Cognitive Sciences,130,,Directed,,
General Psychology & Cognitive Sciences,Psychology & Cognitive Sciences,131,,Directed,,
Human Factors,Psychology & Cognitive Sciences,132,,Directed,,
Psychoanalysis,Psychology & Cognitive Sciences,133,,Directed,,
Social Psychology,Psychology & Cognitive Sciences,134,,Directed,,
Epidemiology,Public Health & Health Services,135,,Directed,,
Gerontology,Public Health & Health Services,136,,Directed,,
Health Policy & Services,Public Health & Health Services,137,,Directed,,
Nursing,Public Health & Health Services,138,,Directed,,
Public Health,Public Health & Health Services,139,,Directed,,
Rehabilitation,Public Health & Health Services,140,,Directed,,
Speech-Language Pathology & Audiology,Public Health & Health Services,141,,Directed,,
Substance Abuse,Public Health & Health Services,142,,Directed,,
Ecology,Biology,143,,Directed,,
Entomology,Biology,144,,Directed,,
Evolutionary Biology,Biology,145,,Directed,,
Marine Biology & Hydrobiology,Biology,146,,Directed,,
Ornithology,Biology,147,,Directed,,
Plant Biology & Botany,Biology,148,,Directed,,
Zoology,Biology,149,,Directed,,
Analytical Chemistry,Chemistry,150,,Directed,,
General Chemistry,Chemistry,151,,Directed,,
Inorganic & Nuclear Chemistry,Chemistry,152,,Directed,,
Medicinal & Biomolecular Chemistry,Chemistry,153,,Directed,,
Organic Chemistry,Chemistry,154,,Directed,,
Physical Chemistry,Chemistry,155,,Directed,,
Polymers,Chemistry,156,,Directed,,
Environmental Sciences,Earth & Environmental Sciences,157,,Directed,,
Geochemistry & Geophysics,Earth & Environmental Sciences,158,,Directed,,
Geology,Earth & Environmental Sciences,159,,Directed,,
Meteorology & Atmospheric Sciences,Earth & Environmental Sciences,160,,Directed,,
Oceanography,Earth & Environmental Sciences,161,,Directed,,
Paleontology,Earth & Environmental Sciences,162,,Directed,,
Applied Mathematics,Mathematics & Statistics,163,,Directed,,
General Mathematics,Mathematics & Statistics,164,,Directed,,
Numerical & Computational Mathematics,Mathematics & Statistics,165,,Directed,,
Statistics & Probability,Mathematics & Statistics,166,,Directed,,
Acoustics,Physics & Astronomy,167,,Directed,,
Applied Physics,Physics & Astronomy,168,,Directed,,
Astronomy & Astrophysics,Physics & Astronomy,169,,Directed,,
Chemical Physics,Physics & Astronomy,170,,Directed,,
Fluids & Plasmas,Physics & Astronomy,171,,Directed,,
General Physics,Physics & Astronomy,172,,Directed,,
Mathematical Physics,Physics & Astronomy,173,,Directed,,
Nuclear & Particles Physics,Physics & Astronomy,174,,Directed,,
Optics,Physics & Astronomy,175,,Directed,,
"Agriculture, Fisheries & Forestry",Applied Sciences,176,,Directed,,
Built Environment & Design,Applied Sciences,177,,Directed,,
Enabling & Strategic Technologies,Applied Sciences,178,,Directed,,
Engineering,Applied Sciences,179,,Directed,,
Information & Communication Technologies,Applied Sciences,180,,Directed,,
Communication & Textual Studies,Arts & Humanities,181,,Directed,,
Historical Studies,Arts & Humanities,182,,Directed,,
Philosophy & Theology,Arts & Humanities,183,,Directed,,
Visual & Performing Arts,Arts & Humanities,184,,Directed,,
Economics & Business ,Economic & Social Sciences,185,,Directed,,
Social Sciences,Economic & Social Sciences,186,,Directed,,
"General Arts, Humanities & Social Sciences",General,187,,Directed,,
General Science & Technology,General,188,,Directed,,
Biomedical Research,Health Sciences,189,,Directed,,
Clinical Medicine,Health Sciences,190,,Directed,,
Psychology & Cognitive Sciences,Health Sciences,191,,Directed,,
Public Health & Health Services,Health Sciences,192,,Directed,,
Biology,Natural Sciences,193,,Directed,,
Chemistry,Natural Sciences,194,,Directed,,
Earth & Environmental Sciences,Natural Sciences,195,,Directed,,
Mathematics & Statistics,Natural Sciences,196,,Directed,,
Physics & Astronomy,Natural Sciences,197,,Directed,,